Timesteps  Total_Iterations  Iterations  Convergence  
1315  2512  1  1  
1316  2514  2  1  
1317  2515  1  1  
1318  2517  2  1  
1319  2518  1  1  
1320  2520  2  1  
1321  2521  1  1  
1322  2523  2  1  
1323  2524  1  1  
1324  2526  2  1  
1325  2527  1  1  
1326  2529  2  1  
1327  2530  1  1  
1328  2532  2  1  
1329  2533  1  1  
1330  2535  2  1  
1331  2536  1  1  
1332  2538  2  1  
1333  2539  1  1  
1334  2541  2  1  
1335  2542  1  1  
1336  2544  2  1  
1337  2545  1  1  
1338  2547  2  1  
1339  2548  1  1  
1340  2550  2  1  
1341  2551  1  1  
1342  2553  2  1  
1343  2554  1  1  
1344  2556  2  1  
1345  2557  1  1  
1346  2559  2  1  
1347  2560  1  1  
1348  2562  2  1  
1349  2563  1  1  
1350  2565  2  1  
1351  2566  1  1  
1352  2568  2  1  
1353  2569  1  1  
1354  2571  2  1  
1355  2572  1  1  
1356  2574  2  1  
1357  2575  1  1  
1358  2576  1  1  
1359  2578  2  1  
1360  2579  1  1  
1361  2580  1  1  
1362  2582  2  1  
1363  2583  1  1  
1364  2584  1  1  
1365  2586  2  1  
1366  2587  1  1  
1367  2588  1  1  
1368  2590  2  1  
1369  2591  1  1  
1370  2592  1  1  
1371  2594  2  1  
1372  2595  1  1  
1373  2596  1  1  
1374  2598  2  1  
1375  2600  2  1  
1376  2601  1  1  
1377  2603  2  1  
1378  2604  1  1  
1379  2605  1  1  
1380  2607  2  1  
1381  2608  1  1  
1382  2609  1  1  
1383  2611  2  1  
1384  2612  1  1  
1385  2613  1  1  
1386  2615  2  1  
1387  2617  2  1  
1388  2618  1  1  
1389  2619  1  1  
1390  2621  2  1  
1391  2622  1  1  
1392  2623  1  1  
